epoch,minibatch,loss
0,0,0.09068560600280762
0,50,4.198805813789368
0,100,3.554837050437927
0,150,3.5694423723220825
0,200,3.4573067665100097
0,250,3.385040020942688
0,300,3.2404951906204222
0,350,3.168945550918579
0,400,3.05861382484436
0,450,3.0639627027511596
0,500,3.020089144706726
1,0,2.275346431732178
1,50,3.0753246784210204
1,100,2.9546679401397706
1,150,3.003221573829651
1,200,2.8208188962936402
1,250,2.794159770011902
1,300,2.719955105781555
1,350,2.617627501487732
1,400,2.4784463596343995
1,450,2.4919934558868406
1,500,2.5123641729354858
2,0,0.05691920280456543
2,50,2.544505658149719
2,100,2.430131640434265
2,150,2.5563066148757936
2,200,2.2936949920654297
2,250,2.3369908928871155
2,300,2.277675416469574
2,350,2.1131314206123353
2,400,1.9594821548461914
2,450,2.0781616592407226
2,500,2.164392402172089
3,0,1.4124354767799376
3,50,2.1686594462394715
3,100,2.0593302607536317
3,150,2.2785293745994566
3,200,1.9618764972686769
3,250,2.026165027618408
3,300,1.8812206315994262
3,350,1.8035405778884888
3,400,1.6669879651069641
3,450,1.825555181503296
3,500,1.9421398496627809
4,0,1.218745732307434
4,50,1.9610373711585998
4,100,1.8560241317749024
4,150,2.1113753151893615
4,200,1.7833457684516907
4,250,1.8554706597328186
4,300,1.7071996235847473
4,350,1.6483002424240112
4,400,1.519609878063202
4,450,1.680296746492386
4,500,1.8187024259567262
5,0,1.1146711754798888
5,50,1.815589852333069
5,100,1.7316873645782471
5,150,1.994570903778076
5,200,1.6755628347396851
5,250,1.7449294114112854
5,300,1.6041193318367004
5,350,1.552260127067566
5,400,1.4310069811344146
5,450,1.5840580809116362
5,500,1.7325374364852906
6,0,1.0479262375831604
6,50,1.7205050301551819
6,100,1.6503074097633361
6,150,1.9065098214149474
6,200,1.600737247467041
6,250,1.6678897905349732
6,300,1.5379636359214783
6,350,1.4872194743156433
6,400,1.3702458596229554
6,450,1.517619526386261
6,500,1.66969469666481
7,0,1.003221641778946
7,50,1.650604236125946
7,100,1.5923719215393066
7,150,1.8368284678459168
7,200,1.5463885760307312
7,250,1.6094929695129394
7,300,1.4821925616264344
7,350,1.438468919992447
7,400,1.3249503552913666
7,450,1.4679011034965515
7,500,1.622115170955658
8,0,0.9693078172206878
8,50,1.5977570486068726
8,100,1.548552610874176
8,150,1.7782285189628602
8,200,1.50242244720459
8,250,1.565308725833893
8,300,1.4451995658874512
8,350,1.4019103407859803
8,400,1.2898205971717835
8,450,1.4293171405792235
8,500,1.5826436281204224
9,0,0.9428552401065826
9,50,1.5556204617023468
9,100,1.5127492666244506
9,150,1.7321598839759826
9,200,1.4654683375358581
9,250,1.5291394877433777
9,300,1.4104692912101746
9,350,1.3720547723770142
9,400,1.26119087100029
9,450,1.398469296693802
9,500,1.5496778452396394
10,0,0.92163654088974
10,50,1.5199802029132843
10,100,1.4816314160823822
10,150,1.693519389629364
10,200,1.433874101638794
10,250,2.1188626170158384
10,300,1.540411057472229
10,350,1.4221958661079406
10,400,1.2823660457134247
10,450,1.407907053232193
10,500,1.5601068258285522
11,0,0.9198630261421203
11,50,1.5245270729064941
11,100,1.5087898540496827
11,150,1.6874501657485963
11,200,1.4183203315734862
11,250,1.5019589293003082
11,300,1.3821216344833374
11,350,1.335661562681198
