,loss
0,0.09128028869628907
1,4.290507435798645
2,3.228703708648682
3,3.68396924495697
4,3.559005031585693
5,3.352677249908447
6,3.3991640186309815
7,3.58078987121582
8,3.2654015159606935
9,3.384054112434387
10,3.25460928440094
11,3.2457123756408692
12,3.3383874988555906
13,3.015568790435791
14,2.898377833366394
15,2.857469091415405
16,2.833968186378479
17,2.8316876173019407
18,2.664755222797394
19,2.6892889451980593
20,2.812397003173828
21,2.5593115139007567
22,2.863166947364807
23,2.9740000891685487
24,2.5124799609184265
25,2.5084429168701172
26,2.751187810897827
27,2.854463005065918
28,2.671945652961731
29,2.5217156338691713
30,2.525179841518402
31,2.5600658750534055
32,2.7920140433311462
33,2.8043098211288453
34,2.6908699226379396
35,2.8831545305252075
36,2.6669939517974854
37,2.6483883333206175
38,2.5117048692703245
39,2.316621127128601
40,2.5492556715011596
41,2.2231051659584047
42,2.059445128440857
43,2.354368290901184
44,2.37156498670578
45,2.214272994995117
46,2.332216572761536
47,2.163418462276459
48,2.1439285850524903
49,2.5928323006629945
50,2.4714166951179504
51,2.5033629179000854
52,2.519448800086975
53,2.3028309321403504
54,2.556633052825928
55,2.197918255329132
56,2.289410526752472
57,2.2734112691879274
58,2.199351170063019
59,2.1138216423988343
60,2.4076382756233214
61,2.243514931201935
62,2.1565638303756716
63,2.013739426136017
64,2.0383098554611205
65,2.0724114918708803
66,1.9165409874916077
67,1.8483703470230102
68,2.2868130517005922
69,2.0828501176834107
70,2.3793519520759583
71,2.096028254032135
72,2.0654814577102663
73,1.9153633141517639
74,1.9022318387031556
75,1.8439700651168822
76,1.8307094955444336
77,3.0280083084106444
78,2.516860909461975
79,2.3723881578445436
80,2.2406209397315977
81,2.0868883895874024
82,2.3236925649642943
83,2.2540853428840637
84,2.1697775292396546
85,1.9778178429603577
86,1.7434408354759217
87,2.0646088552474975
88,2.4218250346183776
89,2.0598430705070494
90,1.8764677691459655
91,1.7786669051647186
92,1.9337935304641725
93,1.8096131193637848
