,loss
0,0.09036028861999512
1,3.9993160009384154
2,3.1347196245193483
3,3.6370252084732058
4,3.53140784740448
5,3.3261461591720582
6,3.365839262008667
7,3.550071606636047
8,3.242459259033203
9,3.300782780647278
10,3.103137412071228
11,3.1146284914016724
12,3.202175316810608
13,2.8612581300735473
14,2.6998044562339785
15,2.586741337776184
16,2.607849042415619
17,2.536175241470337
18,2.468362534046173
19,2.436617126464844
20,2.5839380693435667
21,2.295286707878113
22,2.6388084268569947
23,2.7634347796440126
24,2.273838257789612
25,2.2327269101142884
26,2.459704186916351
27,2.6465448999404906
28,2.3894262957572936
29,2.232037386894226
30,2.219883668422699
31,2.2623709845542908
32,2.5350739479064943
33,2.591496992111206
34,2.468315100669861
35,2.7137419295310976
36,2.4452257847785948
37,2.450243067741394
38,2.2726639437675478
39,1.8897394168376922
40,2.294117077589035
41,1.8022649776935578
42,1.5981316757202149
43,2.0681254613399505
44,2.206914460659027
45,2.034339797496796
46,2.1867710733413697
47,1.9508360886573792
48,1.9013899850845337
49,2.3755160355567932
50,2.206886401176453
51,2.210340533256531
52,2.216021406650543
53,2.0409290909767153
54,2.2978292059898378
55,1.8650582885742188
56,1.9331618356704712
57,1.9782199263572693
58,1.9034546113014221
59,1.8398911595344543
60,2.134433882236481
61,1.9258213186264037
62,1.8320014023780822
63,1.6653217601776122
64,1.7262690949440003
65,1.7886621260643005
66,1.612964243888855
67,1.5681977415084838
68,1.9257882928848267
69,1.8729833149909973
70,1.9388914227485656
71,1.8138467836380006
72,1.783923361301422
73,1.5998313176631926
74,1.5898363101482391
75,1.5825272345542907
76,1.576220909357071
77,2.848487629890442
78,2.2396829462051393
79,2.1289851212501527
80,1.9149907696247102
81,1.8456047832965852
82,2.1310196042060854
83,2.002515128850937
84,1.9859012001752854
85,1.651938367486
86,1.379129734635353
87,1.784276419878006
88,2.1927676784992216
89,1.851697490811348
90,1.6443639236688614
91,1.5162988698482514
92,1.723404757976532
93,1.521680428981781
94,1.705734269618988
95,1.496394062936306
96,1.7436526000499726
97,1.6157791569828988
98,1.8519945907592774
99,2.0853183192014693
100,1.7497744429111481
101,1.543853344321251
102,1.6794105565547943
103,1.9829557311534882
104,1.760294073820114
105,1.616312649846077
106,1.6385175949335098
107,1.6882765501737595
108,1.985497172176838
109,2.1199505591392516
110,2.078476281166077
111,2.314963111877441
112,2.0038852143287658
113,2.013190755844116
114,1.8895444178581238
115,1.3692326566576958
116,1.7621535438299178
117,1.356907766163349
118,1.2133989518880843
119,1.7557091826200486
120,1.831815366744995
121,1.6765130281448364
122,1.8217945051193238
123,1.5897912192344665
124,1.5578042125701905
125,1.9862958812713623
126,1.8125056982040406
127,1.7205762338638306
128,1.8127765130996705
129,1.6684792053699493
130,1.9516505050659179
131,1.5012799251079558
132,1.6209989714622497
133,1.7033558082580567
134,1.6604599452018738
135,1.5746074271202088
136,1.7960982346534728
137,1.5998093032836913
138,1.5703868746757508
139,1.4153313994407655
140,1.4587373590469361
141,1.5745452094078063
142,1.4079629957675934
143,1.422311294078827
144,1.6619668316841125
145,1.6358826899528502
146,1.6923002767562867
147,1.5720750975608826
148,1.5245503067970276
149,1.3874557399749756
150,1.3949567067623139
151,1.386013616323471
152,1.408109176158905
153,2.4654387295246125
154,1.9297778391838074
155,1.8161809983849526
156,1.6494886392354966
157,1.6170664051175117
158,1.8700968044996262
159,1.7700774893164635
160,1.7511762848496437
161,1.368683445751667
162,1.1452496515214443
163,1.544785009920597
164,1.9382823115587235
165,1.5722495505213738
166,1.4396654865145684
167,1.3163509108126163
168,1.519753500521183
169,1.2683307458460331
170,1.5141833117604255
171,1.3227594715356827
172,1.5679911696910858
173,1.4630090415477752
174,1.6617905142903329
175,1.8930090637505055
176,1.6036782838404178
177,1.414526943564415
178,1.4995433999598027
179,1.774352765530348
180,1.6110084649920464
181,1.49195702329278
182,1.4859687316417693
183,1.5167250321805477
184,1.7961689868569375
185,1.9247714281082153
186,1.900572361946106
187,2.1156997537612914
188,1.8322349739074708
189,1.8296081709861756
190,1.6297616308927536
191,1.08190502256155
192,1.601692772358656
193,1.188774553835392
194,1.0996511653065681
195,1.6176105040311812
196,1.696176347732544
197,1.5128747534751892
198,1.6630538380146027
199,1.3986528789997101
200,1.3852730309963226
201,1.7992233848571777
202,1.6573449158668518
203,1.5580338883399962
204,1.6643407106399537
205,1.5198206865787507
206,1.8122961854934692
207,1.3739551544189452
208,1.5039326655864715
209,1.578191568851471
210,1.5580361461639405
211,1.4617137813568115
212,1.6712525439262391
213,1.483874297142029
214,1.4794978618621826
215,1.3335446667671205
216,1.3758062052726745
217,1.4841858839988709
218,1.3221658098697662
219,1.363931986093521
220,1.5289401507377625
221,1.5087456178665162
222,1.5310096478462218
223,1.4585031425952912
224,1.4121116030216216
225,1.2865259003639222
226,1.3065496575832367
227,1.3051692640781403
228,1.3289202058315277
229,2.225050439834595
230,1.7175148904323578
231,1.6806616401672363
232,1.541391463279724
233,1.5058307887613773
234,1.7338187772035598
235,1.6449762335419655
236,1.6435805320739747
237,1.2444702211022376
238,1.0467175293713809
239,1.4410443419218064
240,1.8740473467111587
241,1.39957782715559
242,1.3335552552342416
243,1.2230988588929177
244,1.4234312635660171
245,1.1546512182056903
246,1.413579166829586
247,1.2514884051680566
248,1.4784580984711646
249,1.3773540775477886
250,1.548517507314682
251,1.7545502711832524
252,1.501391413807869
253,1.318129385560751
254,1.4013324469327926
255,1.638002274185419
256,1.507712173908949
257,1.4148103976249695
258,1.410732552409172
259,1.431178407073021
260,1.6719577500224114
261,1.7919784092903137
262,1.7951473188400269
263,1.9830178928375244
264,1.7165423274040221
265,1.7145231175422668
266,1.4477624627947807
267,0.9046505312621593
268,1.487498419433832
269,1.097896723523736
270,1.031187600940466
271,1.5329625856876374
272,1.608270547389984
273,1.4229532623291015
274,1.558970638513565
275,1.2808436369895935
276,1.2872572660446167
277,1.7004374265670776
278,1.5700602126121521
279,1.4481144094467162
280,1.5728361558914186
281,1.4341135811805725
282,1.7194796180725098
283,1.2939728438854217
284,1.4335372698307038
285,1.496427116394043
286,1.4872721481323241
287,1.3874442660808564
288,1.5891162514686585
289,1.411530783176422
290,1.4185837364196778
291,1.2817181742191315
292,1.31822030544281
293,1.4214493429660797
294,1.2645176100730895
295,1.3236600255966187
296,1.442968306541443
297,1.4206669187545777
298,1.436732405424118
299,1.3897288501262666
300,1.3369103932380677
301,1.226910150051117
302,1.2562224793434142
303,1.2523712050914764
304,1.2720512926578522
305,2.181414716243744
306,1.5993880462646484
307,1.6040265077352525
308,1.4830890440940856
309,1.4433697992563248
310,1.6696001279354096
311,1.5896293844282627
312,1.5699947918951511
313,1.19371167704463
314,1.003433912023902
315,1.376387618035078
316,1.795053251683712
317,1.3011789107322693
318,1.2697045926749706
319,1.1665801925957202
320,1.3618168936669826
321,1.0954308849573136
322,1.3512814932316541
323,1.2176313449442386
324,1.4262392643094062
325,1.3238849828392267
326,1.4748928345739842
327,1.6499058014154435
328,1.4467331875860692
329,1.2905039021372795
330,1.3471169996261596
331,1.5451337586343288
332,1.4500285789370537
333,1.3653920102119446
334,1.3540876600146294
335,1.377249148413539
336,1.5810877354443074
337,1.708096570968628
338,1.7242774295806884
339,1.896898112297058
340,1.6355009257793427
341,1.641447606086731
342,1.3530686915665866
343,0.8379731930792331
344,1.3949064344912767
345,1.038313177525997
346,0.9790119375288486
347,1.4694131541252136
348,1.5500606667995454
349,1.3613828754425048
350,1.483769187927246
351,1.2104438841342926
352,1.231518259048462
353,1.6180136442184447
354,1.501359794139862
355,1.3851213800907134
356,1.5111068987846374
357,1.3760962760448456
358,1.6555114495754242
359,1.2408743500709534
360,1.3831769979000093
361,1.4421721708774566
362,1.4378898191452025
363,1.338219336271286
364,1.5197609961032867
365,1.3550111651420593
366,1.3713045883178712
367,1.2560035037994384
368,1.2792145383358002
369,1.3736216259002685
370,1.2248723340034484
371,1.2889756512641908
372,1.3899921154975892
373,1.355897650718689
374,1.3855106163024902
375,1.3411245667934417
376,1.2936396157741548
377,1.191066278219223
378,1.2201840257644654
379,1.2118527042865752
